query_id,query,query_type,n_judged,n_highest,cNDCG@10,RelevantRecall@10,HighestRecall@10,RelevantHidden@10,JudgedCoverage@10,cNDCG@20,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,JudgedCoverage@20,cNDCG@50,RelevantRecall@50,HighestRecall@50,RelevantHidden@50,JudgedCoverage@50,RelevanceVisibilitySpearman
39,door jewelry organizer,product_type,149,31,0.4406950585492932,0.06711409395973154,0.06451612903225806,0.935483870967742,1.0,0.4257878670612882,0.1342281879194631,0.0967741935483871,0.9032258064516129,1.0,0.5080245231105842,0.33557046979865773,0.1935483870967742,0.8064516129032258,1.0,0.03190585429802101
40,elegant executive chair,product_type,166,40,0.7877736340270854,0.054878048780487805,0.15,0.85,0.9,0.7710130972447932,0.11585365853658537,0.3,0.7,0.95,0.7605937676769016,0.27439024390243905,0.525,0.475,0.9,0.44735373459192007
41,closet pull out valet rod,multi_constraint,143,19,0.9510907186004265,0.125,0.47368421052631576,0.5263157894736843,1.0,0.8469402518621403,0.25,0.6842105263157895,0.3157894736842105,1.0,0.9112985485779149,0.4625,0.8947368421052632,0.10526315789473684,0.8,0.5758891467871444
42,toddler couch fold out,product_type,149,3,0.5159958223394444,0.10666666666666667,0.0,1.0,0.8,0.6229152997582164,0.22666666666666666,0.0,1.0,0.85,0.8243882962580368,0.5333333333333333,1.0,0.0,0.8,0.7857124684080892
44,chrome shower head and valve,multi_constraint,219,33,0.6215454215139965,0.04608294930875576,0.09090909090909091,0.9090909090909091,1.0,0.5680417101036106,0.08755760368663594,0.15151515151515152,0.8484848484848485,0.95,0.6120033975392479,0.20276497695852536,0.2727272727272727,0.7272727272727273,0.88,0.22252665231533245
45,70s inspired furniture,attribute_constraint,169,20,0.5374924289893034,0.028037383177570093,0.0,1.0,0.3,0.5407680909805486,0.04672897196261682,0.05,0.95,0.25,0.7201348187817818,0.08411214953271028,0.15,0.85,0.18,0.6571060702822378
46,beach blue headboard,attribute_constraint,104,5,0.6881390083854501,0.06862745098039216,0.6,0.4,0.7,0.7483241306282467,0.10784313725490197,0.6,0.4,0.55,0.8470376026607502,0.16666666666666666,0.6,0.4,0.34,0.30049184160502773
47,porcelain loaf pan,product_type,105,0,1.0,0.1,,,1.0,1.0,0.2,,,1.0,1.0,0.5,,,1.0,0.2950978288503027
48,arwen table lamp,product_type,282,1,1.0,0.031914893617021274,1.0,0.0,0.9,1.0,0.0673758865248227,1.0,0.0,0.95,1.0,0.16312056737588654,1.0,0.0,0.92,0.10295973345818706
49,moen matte black hooks,attribute_constraint,135,0,1.0,0.07758620689655173,,,0.9,1.0,0.14655172413793102,,,0.85,1.0,0.31896551724137934,,,0.74,0.5433120771474045
50,tufted chair with gold legs,multi_constraint,404,28,0.7256449336246451,0.020460358056265986,0.17857142857142858,0.8214285714285714,0.8,0.6853623558024017,0.03580562659846547,0.25,0.75,0.7,0.7350657325916768,0.08695652173913043,0.42857142857142855,0.5714285714285714,0.68,0.3208826669635878
51,kohen 5 drawer dresser,attribute_constraint,595,1,0.7827068917847372,0.017006802721088437,1.0,0.0,1.0,0.8427181265760506,0.034013605442176874,1.0,0.0,1.0,0.9045579367130147,0.08503401360544217,1.0,0.0,1.0,0.19355673814429536
52,westling coffee table,product_type,1433,0,1.0,0.007042253521126761,,,1.0,1.0,0.014084507042253521,,,1.0,1.0,0.03450704225352113,,,0.98,0.11203723529075674
53,carolyn console table,product_type,610,0,1.0,0.01639344262295082,,,1.0,1.0,0.03278688524590164,,,1.0,1.0,0.08032786885245902,,,0.98,
54,wayfair sleep zippered,product_type,143,5,0.8114653233389575,0.06521739130434782,0.6,0.4,0.9,0.8478500680391716,0.12318840579710146,0.6,0.4,0.85,0.8952684957931787,0.3115942028985507,0.6,0.4,0.86,0.16143501070393929
55,tollette teal outdoor rug,product_type,171,1,1.0,0.058823529411764705,1.0,0.0,1.0,1.0,0.11764705882352941,1.0,0.0,1.0,1.0,0.28823529411764703,1.0,0.0,0.98,0.18512948392029152
59,broadway lever,brand_entity_proxy,165,43,1.0,0.06451612903225806,0.23255813953488372,0.7674418604651163,1.0,1.0,0.12903225806451613,0.46511627906976744,0.5348837209302326,1.0,0.9898761281470372,0.3225806451612903,0.9767441860465116,0.023255813953488413,1.0,0.7079511580473166
60,capricorn chest,brand_entity_proxy,332,3,0.8777578504106209,0.021604938271604937,1.0,0.0,1.0,0.8376061794003022,0.043209876543209874,1.0,0.0,1.0,0.8815847523475673,0.12654320987654322,1.0,0.0,0.96,-0.08386130320580172
